ORDERNUMBER,QUANTITYORDERED,PRICEEACH,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,CITY,COUNTRY,DEALSIZE,ORDERE_YEAR,ORDER_MONTH,ORDER_DAY,ORDER_MONTH_NAME
10192,45,90.86,4088.7,2003-11-20,Shipped,4,11,2003,Classic Cars,77,S18_1889,Online Diecast Creations Co.,Nashua,USA,Medium,2003,11,20,November
10203,45,85.47,3846.15,2003-12-02,Shipped,4,12,2003,Classic Cars,77,S18_1889,Euro Shopping Channel,Madrid,Spain,Medium,2003,12,2,December
10212,20,66.99,1339.8,2004-01-16,Shipped,1,1,2004,Classic Cars,77,S18_1889,Euro Shopping Channel,Madrid,Spain,Small,2004,1,16,January
10225,47,64.68,3039.96,2004-02-22,Shipped,1,2,2004,Classic Cars,77,S18_1889,"Vida Sport, Ltd",Gensve,Switzerland,Medium,2004,2,22,February
10239,46,73.92,3400.32,2004-04-12,Shipped,2,4,2004,Classic Cars,77,S18_1889,"Oulu Toy Supplies, Inc.",Oulu,Finland,Medium,2004,4,12,April
10253,23,83.93,1930.39,2004-06-01,Cancelled,2,6,2004,Classic Cars,77,S18_1889,"UK Collectables, Ltd.",Liverpool,UK,Small,2004,6,1,June
10266,33,74.69,2464.77,2004-07-06,Shipped,3,7,2004,Classic Cars,77,S18_1889,L'ordine Souveniers,Reggio Emilia,Italy,Small,2004,7,6,July
10278,29,90.86,2634.94,2004-08-06,Shipped,3,8,2004,Classic Cars,77,S18_1889,Signal Gift Stores,Las Vegas,USA,Small,2004,8,6,August
10287,44,82.39,3625.16,2004-08-30,Shipped,3,8,2004,Classic Cars,77,S18_1889,"Vida Sport, Ltd",Gensve,Switzerland,Medium,2004,8,30,August
10300,41,92.4,3788.4,2003-10-04,Shipped,4,10,2003,Classic Cars,77,S18_1889,"Blauer See Auto, Co.",Frankfurt,Germany,Medium,2003,10,4,October
10310,20,91.63,1832.6,2004-10-16,Shipped,4,10,2004,Classic Cars,77,S18_1889,"Toms Spezialitten, Ltd",Koln,Germany,Small,2004,10,16,October
10321,37,78.54,2905.98,2004-11-04,Shipped,4,11,2004,Classic Cars,77,S18_1889,FunGiftIdeas.com,New Bedford,USA,Small,2004,11,4,November
10329,29,100.0,2954.81,2004-11-15,Shipped,4,11,2004,Classic Cars,77,S18_1889,Land of Toys Inc.,NYC,USA,Small,2004,11,15,November
10342,55,65.45,3599.75,2004-11-24,Shipped,4,11,2004,Classic Cars,77,S18_1889,"Australian Collectors, Co.",Melbourne,Australia,Medium,2004,11,24,November
10363,22,100.0,3686.54,2005-01-06,Shipped,1,1,2005,Classic Cars,77,S18_1889,Suominen Souveniers,Espoo,Finland,Medium,2005,1,6,January
10377,31,67.76,2100.56,2005-02-09,Shipped,1,2,2005,Classic Cars,77,S18_1889,"Toys of Finland, Co.",Helsinki,Finland,Small,2005,2,9,February
10389,49,79.22,3881.78,2005-03-03,Shipped,1,3,2005,Classic Cars,77,S18_1889,Scandinavian Gift Ideas,Boras,Sweden,Medium,2005,3,3,March
10405,61,73.92,4509.12,2005-04-14,Shipped,2,4,2005,Classic Cars,77,S18_1889,Mini Caravy,Strasbourg,France,Medium,2005,4,14,April
10419,39,83.93,3273.27,2005-05-17,Shipped,2,5,2005,Classic Cars,77,S18_1889,Salzburg Collectables,Salzburg,Austria,Medium,2005,5,17,May
10109,38,100.0,4432.7,2003-03-10,Shipped,1,3,2003,Classic Cars,142,S18_1984,Motor Mint Distributors Inc.,Philadelphia,USA,Medium,2003,3,10,March
10122,31,100.0,4100.99,2003-05-08,Shipped,2,5,2003,Classic Cars,142,S18_1984,Marseille Mini Autos,Marseille,France,Medium,2003,5,8,May
10136,36,100.0,5274.72,2003-07-04,Shipped,3,7,2003,Classic Cars,142,S18_1984,Alpha Cognac,Toulouse,France,Medium,2003,7,4,July
10148,25,100.0,4232.0,2003-09-11,Shipped,3,9,2003,Classic Cars,142,S18_1984,"Anna's Decorations, Ltd",North Sydney,Australia,Medium,2003,9,11,September
10161,48,100.0,6145.44,2003-10-17,Shipped,4,10,2003,Classic Cars,142,S18_1984,Heintze Collectables,Aaarhus,Denmark,Medium,2003,10,17,October
10171,35,100.0,4680.2,2003-11-05,Shipped,4,11,2003,Classic Cars,142,S18_1984,Quebec Home Shopping Network,Montreal,Canada,Medium,2003,11,5,November
10181,21,100.0,3286.08,2003-11-12,Shipped,4,11,2003,Classic Cars,142,S18_1984,Herkku Gifts,Bergen,Norway,Medium,2003,11,12,November
10192,47,100.0,7421.3,2003-11-20,Shipped,4,11,2003,Classic Cars,142,S18_1984,Online Diecast Creations Co.,Nashua,USA,Large,2003,11,20,November
10204,38,100.0,6432.64,2003-12-02,Shipped,4,12,2003,Classic Cars,142,S18_1984,Muscle Machine Inc,NYC,USA,Medium,2003,12,2,December
10212,41,100.0,4840.87,2004-01-16,Shipped,1,1,2004,Classic Cars,142,S18_1984,Euro Shopping Channel,Madrid,Spain,Medium,2004,1,16,January
10226,24,100.0,3892.08,2004-02-26,Shipped,1,2,2004,Classic Cars,142,S18_1984,Collectable Mini Designs Co.,San Diego,USA,Medium,2004,2,26,February
10240,37,100.0,5526.32,2004-04-13,Shipped,2,4,2004,Classic Cars,142,S18_1984,Osaka Souveniers Co.,Osaka,Japan,Medium,2004,4,13,April
10253,33,100.0,4459.62,2004-06-01,Cancelled,2,6,2004,Classic Cars,142,S18_1984,"UK Collectables, Ltd.",Liverpool,UK,Medium,2004,6,1,June
10266,49,100.0,6203.4,2004-07-06,Shipped,3,7,2004,Classic Cars,142,S18_1984,L'ordine Souveniers,Reggio Emilia,Italy,Medium,2004,7,6,July
10278,29,100.0,3754.05,2004-08-06,Shipped,3,8,2004,Classic Cars,142,S18_1984,Signal Gift Stores,Las Vegas,USA,Medium,2004,8,6,August
10287,24,100.0,3516.48,2004-08-30,Shipped,3,8,2004,Classic Cars,142,S18_1984,"Vida Sport, Ltd",Gensve,Switzerland,Medium,2004,8,30,August
10301,47,100.0,7488.04,2003-10-05,Shipped,4,10,2003,Classic Cars,142,S18_1984,"Norway Gifts By Mail, Co.",Oslo,Norway,Large,2003,10,5,October
10310,24,100.0,3448.08,2004-10-16,Shipped,4,10,2004,Classic Cars,142,S18_1984,"Toms Spezialitten, Ltd",Koln,Germany,Medium,2004,10,16,October
10321,25,100.0,3734.0,2004-11-04,Shipped,4,11,2004,Classic Cars,142,S18_1984,FunGiftIdeas.com,New Bedford,USA,Medium,2004,11,4,November
10331,30,32.47,974.1,2004-11-17,Shipped,4,11,2004,Classic Cars,142,S18_1984,Motor Mint Distributors Inc.,Philadelphia,USA,Small,2004,11,17,November
10342,22,100.0,3160.74,2004-11-24,Shipped,4,11,2004,Classic Cars,142,S18_1984,"Australian Collectors, Co.",Melbourne,Australia,Medium,2004,11,24,November
10356,27,64.69,1746.63,2004-12-09,Shipped,4,12,2004,Classic Cars,142,S18_1984,Lyon Souveniers,Paris,France,Small,2004,12,9,December
10366,34,100.0,4207.84,2005-01-10,Shipped,1,1,2005,Classic Cars,142,S18_1984,Royale Belge,Charleroi,Belgium,Medium,2005,1,10,January
10377,36,100.0,4352.76,2005-02-09,Shipped,1,2,2005,Classic Cars,142,S18_1984,"Toys of Finland, Co.",Helsinki,Finland,Medium,2005,2,9,February
10390,34,43.05,1463.7,2005-03-04,Shipped,1,3,2005,Classic Cars,142,S18_1984,Mini Gifts Distributors Ltd.,San Rafael,USA,Small,2005,3,4,March
10406,48,100.0,7169.28,2005-04-15,Disputed,2,4,2005,Classic Cars,142,S18_1984,Danish Wholesale Imports,Kobenhavn,Denmark,Large,2005,4,15,April
10419,34,100.0,4594.76,2005-05-17,Shipped,2,5,2005,Classic Cars,142,S18_1984,Salzburg Collectables,Salzburg,Austria,Medium,2005,5,17,May
10104,24,100.0,3457.92,2003-01-31,Shipped,1,1,2003,Classic Cars,163,S18_2238,Euro Shopping Channel,Madrid,Spain,Medium,2003,1,31,January
10115,46,100.0,7381.16,2003-04-04,Shipped,2,4,2003,Classic Cars,163,S18_2238,Classic Legends Inc.,NYC,USA,Large,2003,4,4,April
10127,45,100.0,7146.9,2003-06-03,Shipped,2,6,2003,Classic Cars,163,S18_2238,Muscle Machine Inc,NYC,USA,Large,2003,6,3,June
10141,39,100.0,5938.53,2003-08-01,Shipped,3,8,2003,Classic Cars,163,S18_2238,Suominen Souveniers,Espoo,Finland,Medium,2003,8,1,August
10151,43,100.0,7110.91,2003-09-21,Shipped,3,9,2003,Classic Cars,163,S18_2238,"Oulu Toy Supplies, Inc.",Oulu,Finland,Large,2003,9,21,September
10165,29,100.0,5032.95,2003-10-22,Shipped,4,10,2003,Classic Cars,163,S18_2238,"Dragon Souveniers, Ltd.",Singapore,Singapore,Medium,2003,10,22,October
10176,20,100.0,3667.6,2003-11-06,Shipped,4,11,2003,Classic Cars,163,S18_2238,L'ordine Souveniers,Reggio Emilia,Italy,Medium,2003,11,6,November
10184,46,100.0,7381.16,2003-11-14,Shipped,4,11,2003,Classic Cars,163,S18_2238,"Iberia Gift Imports, Corp.",Sevilla,Spain,Large,2003,11,14,November
10195,27,100.0,5128.11,2003-11-25,Shipped,4,11,2003,Classic Cars,163,S18_2238,Mini Classics,White Plains,USA,Medium,2003,11,25,November
10207,44,100.0,7060.24,2003-12-09,Shipped,4,12,2003,Classic Cars,163,S18_2238,Diecast Collectables,Boston,USA,Large,2003,12,9,December
10219,43,100.0,8448.64,2004-02-10,Shipped,1,2,2004,Classic Cars,163,S18_2238,Signal Collectibles Ltd.,Brisbane,USA,Large,2004,2,10,February
10230,49,100.0,7300.51,2004-03-15,Shipped,1,3,2004,Classic Cars,163,S18_2238,"Blauer See Auto, Co.",Frankfurt,Germany,Large,2004,3,15,March
10246,40,100.0,6549.2,2004-05-05,Shipped,2,5,2004,Classic Cars,163,S18_2238,Euro Shopping Channel,Madrid,Spain,Medium,2004,5,5,May
10259,30,100.0,5697.9,2004-06-15,Shipped,2,6,2004,Classic Cars,163,S18_2238,Handji Gifts& Co,Singapore,Singapore,Medium,2004,6,15,June
10271,50,100.0,9169.0,2004-07-20,Shipped,3,7,2004,Classic Cars,163,S18_2238,Mini Gifts Distributors Ltd.,San Rafael,USA,Large,2004,7,20,July
10282,23,100.0,3238.63,2004-08-20,Shipped,3,8,2004,Classic Cars,163,S18_2238,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium,2004,8,20,August
10292,26,100.0,4554.94,2004-09-08,Shipped,3,9,2004,Classic Cars,163,S18_2238,Land of Toys Inc.,NYC,USA,Medium,2004,9,8,September
10305,27,100.0,3934.44,2004-10-13,Shipped,4,10,2004,Classic Cars,163,S18_2238,Marta's Replicas Co.,Cambridge,USA,Medium,2004,10,13,October
10314,42,100.0,5776.26,2004-10-22,Shipped,4,10,2004,Classic Cars,163,S18_2238,Heintze Collectables,Aaarhus,Denmark,Medium,2004,10,22,October
10324,47,100.0,7207.45,2004-11-05,Shipped,4,11,2004,Classic Cars,163,S18_2238,Vitachrome Inc.,NYC,USA,Large,2004,11,5,November
10336,49,100.0,7460.74,2004-11-20,Shipped,4,11,2004,Classic Cars,163,S18_2238,"La Corne D'abondance, Co.",Paris,France,Large,2004,11,20,November
10349,38,100.0,6719.54,2004-12-01,Shipped,4,12,2004,Classic Cars,163,S18_2238,Muscle Machine Inc,NYC,USA,Medium,2004,12,1,December
10358,20,100.0,2428.0,2004-12-10,Shipped,4,12,2004,Classic Cars,163,S18_2238,Euro Shopping Channel,Madrid,Spain,Small,2004,12,10,December
10371,25,100.0,2602.25,2005-01-23,Shipped,1,1,2005,Classic Cars,163,S18_2238,Mini Gifts Distributors Ltd.,San Rafael,USA,Small,2005,1,23,January
10382,25,88.0,2200.0,2005-02-17,Shipped,1,2,2005,Classic Cars,163,S18_2238,Mini Gifts Distributors Ltd.,San Rafael,USA,Small,2005,2,17,February
10412,41,100.0,6712.93,2005-05-03,Shipped,2,5,2005,Classic Cars,163,S18_2238,Euro Shopping Channel,Madrid,Spain,Medium,2005,5,3,May
10425,28,100.0,5318.04,2005-05-31,In Process,2,5,2005,Classic Cars,163,S18_2238,La Rochelle Gifts,Nantes,France,Medium,2005,5,31,May
10100,50,67.8,3390.0,2003-01-06,Shipped,1,1,2003,Vintage Cars,60,S18_2248,Online Diecast Creations Co.,Nashua,USA,Medium,2003,1,6,January
10110,32,50.25,1608.0,2003-03-18,Shipped,1,3,2003,Vintage Cars,60,S18_2248,"AV Stores, Co.",Manchester,UK,Small,2003,3,18,March
10124,42,53.88,2262.96,2003-05-21,Shipped,2,5,2003,Vintage Cars,60,S18_2248,Signal Gift Stores,Las Vegas,USA,Small,2003,5,21,May
10149,24,62.36,1496.64,2003-09-12,Shipped,3,9,2003,Vintage Cars,60,S18_2248,Signal Collectibles Ltd.,Brisbane,USA,Small,2003,9,12,September
10162,27,69.62,1879.74,2003-10-18,Shipped,4,10,2003,Vintage Cars,60,S18_2248,Corporate Gift Ideas Co.,San Francisco,USA,Small,2003,10,18,October
10173,26,57.51,1495.26,2003-11-05,Shipped,4,11,2003,Vintage Cars,60,S18_2248,Rovelli Gifts,Bergamo,Italy,Small,2003,11,5,November
10182,38,61.15,2323.7,2003-11-12,Shipped,4,11,2003,Vintage Cars,60,S18_2248,Mini Gifts Distributors Ltd.,San Rafael,USA,Small,2003,11,12,November
10193,42,59.33,2491.86,2003-11-21,Shipped,4,11,2003,Vintage Cars,60,S18_2248,"Australian Collectables, Ltd",Glen Waverly,Australia,Small,2003,11,21,November
10204,23,71.44,1643.12,2003-12-02,Shipped,4,12,2003,Vintage Cars,60,S18_2248,Muscle Machine Inc,NYC,USA,Small,2003,12,2,December
10214,21,62.96,1322.16,2004-01-26,Shipped,1,1,2004,Vintage Cars,60,S18_2248,"Corrida Auto Replicas, Ltd",Madrid,Spain,Small,2004,1,26,January
10227,28,50.85,1423.8,2004-03-02,Shipped,1,3,2004,Vintage Cars,60,S18_2248,"Saveley & Henriot, Co.",Lyon,France,Small,2004,3,2,March
10241,33,72.65,2397.45,2004-04-13,Shipped,2,4,2004,Vintage Cars,60,S18_2248,Mini Caravy,Strasbourg,France,Small,2004,4,13,April
10280,25,62.96,1574.0,2004-08-17,Shipped,3,8,2004,Vintage Cars,60,S18_2248,Amica Models & Co.,Torino,Italy,Small,2004,8,17,August
10288,28,61.75,1729.0,2004-09-01,Shipped,3,9,2004,Vintage Cars,60,S18_2248,Handji Gifts& Co,Singapore,Singapore,Small,2004,9,1,September
10303,46,49.04,2255.84,2004-10-06,Shipped,4,10,2004,Vintage Cars,60,S18_2248,"Iberia Gift Imports, Corp.",Sevilla,Spain,Small,2004,10,6,October
10312,30,61.15,1834.5,2004-10-21,Shipped,4,10,2004,Vintage Cars,60,S18_2248,Mini Gifts Distributors Ltd.,San Rafael,USA,Small,2004,10,21,October
10332,38,84.25,3201.5,2004-11-17,Shipped,4,11,2004,Vintage Cars,60,S18_2248,"AV Stores, Co.",Manchester,UK,Medium,2004,11,17,November
10344,40,56.91,2276.4,2004-11-25,Shipped,4,11,2004,Vintage Cars,60,S18_2248,Marseille Mini Autos,Marseille,France,Small,2004,11,25,November
10367,45,100.0,8884.8,2005-01-12,Resolved,1,1,2005,Vintage Cars,60,S18_2248,Toys4GrownUps.com,Pasadena,USA,Large,2005,1,12,January
10379,27,49.3,1331.1,2005-02-10,Shipped,1,2,2005,Vintage Cars,60,S18_2248,Euro Shopping Channel,Madrid,Spain,Small,2005,2,10,February
10407,42,72.65,3051.3,2005-04-22,On Hold,2,4,2005,Vintage Cars,60,S18_2248,The Sharp Gifts Warehouse,San Jose,USA,Medium,2005,4,22,April
10420,36,63.57,2288.52,2005-05-29,In Process,2,5,2005,Vintage Cars,60,S18_2248,Souveniers And Things Co.,Chatswood,Australia,Small,2005,5,29,May
10104,29,100.0,3772.61,2003-01-31,Shipped,1,1,2003,Trucks and Buses,122,S18_2319,Euro Shopping Channel,Madrid,Spain,Medium,2003,1,31,January
10114,39,100.0,4164.42,2003-04-01,Shipped,2,4,2003,Trucks and Buses,122,S18_2319,"La Corne D'abondance, Co.",Paris,France,Medium,2003,4,1,April
10127,45,100.0,6295.95,2003-06-03,Shipped,2,6,2003,Trucks and Buses,122,S18_2319,Muscle Machine Inc,NYC,USA,Medium,2003,6,3,June
10141,47,100.0,6287.66,2003-08-01,Shipped,3,8,2003,Trucks and Buses,122,S18_2319,Suominen Souveniers,Espoo,Finland,Medium,2003,8,1,August
10151,49,100.0,5412.54,2003-09-21,Shipped,3,9,2003,Trucks and Buses,122,S18_2319,"Oulu Toy Supplies, Inc.",Oulu,Finland,Medium,2003,9,21,September
10165,46,100.0,5984.14,2003-10-22,Shipped,4,10,2003,Trucks and Buses,122,S18_2319,"Dragon Souveniers, Ltd.",Singapore,Singapore,Medium,2003,10,22,October
10175,48,100.0,5891.04,2003-11-06,Shipped,4,11,2003,Trucks and Buses,122,S18_2319,"Stylish Desk Decors, Co.",London,UK,Medium,2003,11,6,November
10184,46,100.0,5984.14,2003-11-14,Shipped,4,11,2003,Trucks and Buses,122,S18_2319,"Iberia Gift Imports, Corp.",Sevilla,Spain,Medium,2003,11,14,November
10195,35,100.0,3608.15,2003-11-25,Shipped,4,11,2003,Trucks and Buses,122,S18_2319,Mini Classics,White Plains,USA,Medium,2003,11,25,November
10207,43,100.0,5752.54,2003-12-09,Shipped,4,12,2003,Trucks and Buses,122,S18_2319,Diecast Collectables,Boston,USA,Medium,2003,12,9,December
10229,26,100.0,3765.32,2004-03-11,Shipped,1,3,2004,Trucks and Buses,122,S18_2319,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium,2004,3,11,March
10246,22,98.18,2159.96,2004-05-05,Shipped,2,5,2004,Trucks and Buses,122,S18_2319,Euro Shopping Channel,Madrid,Spain,Small,2004,5,5,May
10259,34,99.41,3379.94,2004-06-15,Shipped,2,6,2004,Trucks and Buses,122,S18_2319,Handji Gifts& Co,Singapore,Singapore,Medium,2004,6,15,June
10271,50,100.0,5093.5,2004-07-20,Shipped,3,7,2004,Trucks and Buses,122,S18_2319,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium,2004,7,20,July
10281,48,100.0,5773.44,2004-08-19,Shipped,3,8,2004,Trucks and Buses,122,S18_2319,Diecast Classics Inc.,Allentown,USA,Medium,2004,8,19,August
10292,41,100.0,4528.86,2004-09-08,Shipped,3,9,2004,Trucks and Buses,122,S18_2319,Land of Toys Inc.,NYC,USA,Medium,2004,9,8,September
10305,36,100.0,4816.08,2004-10-13,Shipped,4,10,2004,Trucks and Buses,122,S18_2319,Marta's Replicas Co.,Cambridge,USA,Medium,2004,10,13,October
10313,29,100.0,3416.78,2004-10-22,Shipped,4,10,2004,Trucks and Buses,122,S18_2319,Canadian Gift Exchange Network,Vancouver,Canada,Medium,2004,10,22,October
10324,33,37.48,1236.84,2004-11-05,Shipped,4,11,2004,Trucks and Buses,122,S18_2319,Vitachrome Inc.,NYC,USA,Small,2004,11,5,November
10334,46,100.0,5814.86,2004-11-19,On Hold,4,11,2004,Trucks and Buses,122,S18_2319,"Volvo Model Replicas, Co",Lule,Sweden,Medium,2004,11,19,November
10349,38,100.0,5223.48,2004-12-01,Shipped,4,12,2004,Trucks and Buses,122,S18_2319,Muscle Machine Inc,NYC,USA,Medium,2004,12,1,December
10358,20,36.42,728.4,2004-12-10,Shipped,4,12,2004,Trucks and Buses,122,S18_2319,Euro Shopping Channel,Madrid,Spain,Small,2004,12,10,December
10370,22,100.0,3949.0,2005-01-20,Shipped,1,1,2005,Trucks and Buses,122,S18_2319,"Anna's Decorations, Ltd",North Sydney,Australia,Medium,2005,1,20,January
10383,27,100.0,3843.99,2005-02-22,Shipped,1,2,2005,Trucks and Buses,122,S18_2319,Euro Shopping Channel,Madrid,Spain,Medium,2005,2,22,February
10412,56,98.18,5498.08,2005-05-03,Shipped,2,5,2005,Trucks and Buses,122,S18_2319,Euro Shopping Channel,Madrid,Spain,Medium,2005,5,3,May
10425,38,99.41,3777.58,2005-05-31,In Process,2,5,2005,Trucks and Buses,122,S18_2319,La Rochelle Gifts,Nantes,France,Medium,2005,5,31,May
10101,25,100.0,3782.0,2003-01-09,Shipped,1,1,2003,Vintage Cars,127,S18_2325,"Blauer See Auto, Co.",Frankfurt,Germany,Medium,2003,1,9,January
10110,33,100.0,3859.68,2003-03-18,Shipped,1,3,2003,Vintage Cars,127,S18_2325,"AV Stores, Co.",Manchester,UK,Medium,2003,3,18,March
10124,42,100.0,4431.84,2003-05-21,Shipped,2,5,2003,Vintage Cars,127,S18_2325,Signal Gift Stores,Las Vegas,USA,Medium,2003,5,21,May
10149,33,100.0,4950.33,2003-09-12,Shipped,3,9,2003,Vintage Cars,127,S18_2325,Signal Collectibles Ltd.,Brisbane,USA,Medium,2003,9,12,September
10162,38,100.0,4299.7,2003-10-18,Shipped,4,10,2003,Vintage Cars,127,S18_2325,Corporate Gift Ideas Co.,San Francisco,USA,Medium,2003,10,18,October
10173,31,100.0,4492.83,2003-11-05,Shipped,4,11,2003,Vintage Cars,127,S18_2325,Rovelli Gifts,Bergamo,Italy,Medium,2003,11,5,November
10182,20,100.0,2212.0,2003-11-12,Shipped,4,11,2003,Vintage Cars,127,S18_2325,Mini Gifts Distributors Ltd.,San Rafael,USA,Small,2003,11,12,November
10193,44,100.0,4642.88,2003-11-21,Shipped,4,11,2003,Vintage Cars,127,S18_2325,"Australian Collectables, Ltd",Glen Waverly,Australia,Medium,2003,11,21,November
10204,26,100.0,3206.32,2003-12-02,Shipped,4,12,2003,Vintage Cars,127,S18_2325,Muscle Machine Inc,NYC,USA,Medium,2003,12,2,December
10214,27,100.0,3604.23,2004-01-26,Shipped,1,1,2004,Vintage Cars,127,S18_2325,"Corrida Auto Replicas, Ltd",Madrid,Spain,Medium,2004,1,26,January
10227,46,100.0,7017.76,2004-03-02,Shipped,1,3,2004,Vintage Cars,127,S18_2325,"Saveley & Henriot, Co.",Lyon,France,Large,2004,3,2,March
10243,47,100.0,6154.18,2004-04-26,Shipped,2,4,2004,Vintage Cars,127,S18_2325,Diecast Collectables,Boston,USA,Medium,2004,4,26,April
10280,37,100.0,4750.8,2004-08-17,Shipped,3,8,2004,Vintage Cars,127,S18_2325,Amica Models & Co.,Torino,Italy,Medium,2004,8,17,August
10288,31,100.0,3822.92,2004-09-01,Shipped,3,9,2004,Vintage Cars,127,S18_2325,Handji Gifts& Co,Singapore,Singapore,Medium,2004,9,1,September
10304,24,100.0,2440.8,2004-10-11,Shipped,4,10,2004,Vintage Cars,127,S18_2325,Auto Assoc. & Cie.,Versailles,France,Small,2004,10,11,October
10312,31,100.0,4729.36,2004-10-21,Shipped,4,10,2004,Vintage Cars,127,S18_2325,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium,2004,10,21,October
10322,50,100.0,12536.5,2004-11-04,Shipped,4,11,2004,Vintage Cars,127,S18_2325,Online Diecast Creations Co.,Nashua,USA,Large,2004,11,4,November
10332,35,64.69,2264.15,2004-11-17,Shipped,4,11,2004,Vintage Cars,127,S18_2325,"AV Stores, Co.",Manchester,UK,Small,2004,11,17,November
10344,30,100.0,3928.2,2004-11-25,Shipped,4,11,2004,Vintage Cars,127,S18_2325,Marseille Mini Autos,Marseille,France,Medium,2004,11,25,November
10356,29,100.0,3630.22,2004-12-09,Shipped,4,12,2004,Vintage Cars,127,S18_2325,Lyon Souveniers,Paris,France,Medium,2004,12,9,December
10367,27,100.0,4196.07,2005-01-12,Resolved,1,1,2005,Vintage Cars,127,S18_2325,Toys4GrownUps.com,Pasadena,USA,Medium,2005,1,12,January
10380,40,100.0,4931.6,2005-02-16,Shipped,1,2,2005,Vintage Cars,127,S18_2325,Euro Shopping Channel,Madrid,Spain,Medium,2005,2,16,February
10390,31,98.99,3068.69,2005-03-04,Shipped,1,3,2005,Vintage Cars,127,S18_2325,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium,2005,3,4,March
10409,6,100.0,785.64,2005-04-23,Shipped,2,4,2005,Vintage Cars,127,S18_2325,Handji Gifts& Co,Singapore,Singapore,Small,2005,4,23,April
10420,45,100.0,4977.0,2005-05-29,In Process,2,5,2005,Vintage Cars,127,S18_2325,Souveniers And Things Co.,Chatswood,Australia,Medium,2005,5,29,May
10103,22,54.09,1189.98,2003-01-29,Shipped,1,1,2003,Trucks and Buses,60,S18_2432,Baane Mini Imports,Stavern,Norway,Small,2003,1,29,January
10114,45,68.67,3090.15,2003-04-01,Shipped,2,4,2003,Trucks and Buses,60,S18_2432,"La Corne D'abondance, Co.",Paris,France,Medium,2003,4,1,April
10126,43,65.02,2795.86,2003-05-28,Shipped,2,5,2003,Trucks and Buses,60,S18_2432,"Corrida Auto Replicas, Ltd",Madrid,Spain,Small,2003,5,28,May
10140,46,61.99,2851.54,2003-07-24,Shipped,3,7,2003,Trucks and Buses,60,S18_2432,Technics Stores Inc.,Burlingame,USA,Small,2003,7,24,July
10151,39,69.28,2701.92,2003-09-21,Shipped,3,9,2003,Trucks and Buses,60,S18_2432,"Oulu Toy Supplies, Inc.",Oulu,Finland,Small,2003,9,21,September
10165,31,71.1,2204.1,2003-10-22,Shipped,4,10,2003,Trucks and Buses,60,S18_2432,"Dragon Souveniers, Ltd.",Singapore,Singapore,Small,2003,10,22,October
10175,41,69.28,2840.48,2003-11-06,Shipped,4,11,2003,Trucks and Buses,60,S18_2432,"Stylish Desk Decors, Co.",London,UK,Small,2003,11,6,November
10184,44,60.16,2647.04,2003-11-14,Shipped,4,11,2003,Trucks and Buses,60,S18_2432,"Iberia Gift Imports, Corp.",Sevilla,Spain,Small,2003,11,14,November
10194,45,70.49,3172.05,2003-11-25,Shipped,4,11,2003,Trucks and Buses,60,S18_2432,"Saveley & Henriot, Co.",Lyon,France,Medium,2003,11,25,November
10207,37,69.89,2585.93,2003-12-09,Shipped,4,12,2003,Trucks and Buses,60,S18_2432,Diecast Collectables,Boston,USA,Small,2003,12,9,December
10217,35,61.38,2148.3,2004-02-04,Shipped,1,2,2004,Trucks and Buses,60,S18_2432,Handji Gifts& Co,Singapore,Singapore,Small,2004,2,4,February
10229,28,59.55,1667.4,2004-03-11,Shipped,1,3,2004,Trucks and Buses,60,S18_2432,Mini Gifts Distributors Ltd.,San Rafael,USA,Small,2004,3,11,March
10246,30,61.99,1859.7,2004-05-05,Shipped,2,5,2004,Trucks and Buses,60,S18_2432,Euro Shopping Channel,Madrid,Spain,Small,2004,5,5,May
10259,30,49.22,1476.6,2004-06-15,Shipped,2,6,2004,Trucks and Buses,60,S18_2432,Handji Gifts& Co,Singapore,Singapore,Small,2004,6,15,June
10271,25,69.28,1732.0,2004-07-20,Shipped,3,7,2004,Trucks and Buses,60,S18_2432,Mini Gifts Distributors Ltd.,San Rafael,USA,Small,2004,7,20,July
10281,29,57.73,1674.17,2004-08-19,Shipped,3,8,2004,Trucks and Buses,60,S18_2432,Diecast Classics Inc.,Allentown,USA,Small,2004,8,19,August
10291,26,57.73,1500.98,2004-09-08,Shipped,3,9,2004,Trucks and Buses,60,S18_2432,Scandinavian Gift Ideas,Boras,Sweden,Small,2004,9,8,September
10305,41,53.48,2192.68,2004-10-13,Shipped,4,10,2004,Trucks and Buses,60,S18_2432,Marta's Replicas Co.,Cambridge,USA,Small,2004,10,13,October
10313,34,52.87,1797.58,2004-10-22,Shipped,4,10,2004,Trucks and Buses,60,S18_2432,Canadian Gift Exchange Network,Vancouver,Canada,Small,2004,10,22,October
10322,35,61.21,2142.35,2004-11-04,Shipped,4,11,2004,Trucks and Buses,60,S18_2432,Online Diecast Creations Co.,Nashua,USA,Small,2004,11,4,November
